Query: portable operating systems
Total Hits: 440
1. CACM-3127.html Score=1.1755296
2. CACM-1461.html Score=0.50642985
3. CACM-3068.html Score=0.40902123
4. CACM-2246.html Score=0.3299833
5. CACM-2111.html Score=0.3230007
6. CACM-2069.html Score=0.31651866
7. CACM-2319.html Score=0.30766326
8. CACM-2740.html Score=0.30766326
9. CACM-1462.html Score=0.28890023
10. CACM-1728.html Score=0.28890023
11. CACM-2597.html Score=0.28045723
12. CACM-2629.html Score=0.28045723
13. CACM-1750.html Score=0.2741132
14. CACM-2372.html Score=0.26916727
15. CACM-1247.html Score=0.26857498
16. CACM-2080.html Score=0.26857498
17. CACM-2482.html Score=0.26857498
18. CACM-2867.html Score=0.26857498
19. CACM-2379.html Score=0.26133278
20. CACM-1923.html Score=0.25321493
21. CACM-1680.html Score=0.24681911
22. CACM-2840.html Score=0.24135262
23. CACM-3025.html Score=0.24135262
24. CACM-2621.html Score=0.23838985
25. CACM-2378.html Score=0.23371433
26. CACM-2541.html Score=0.23371433
27. CACM-2632.html Score=0.23371433
28. CACM-1747.html Score=0.23342077
29. CACM-2317.html Score=0.23112017
30. CACM-2424.html Score=0.22735322
31. CACM-2138.html Score=0.22647284
32. CACM-2151.html Score=0.22647284
33. CACM-1751.html Score=0.2238125
34. CACM-2320.html Score=0.2238125
35. CACM-2950.html Score=0.2238125
36. CACM-3196.html Score=0.22226858
37. CACM-3174.html Score=0.22156307
38. CACM-1930.html Score=0.21998885
39. CACM-1226.html Score=0.21734169
40. CACM-3141.html Score=0.21734169
41. CACM-1324.html Score=0.21344522
42. CACM-1951.html Score=0.21344522
43. CACM-2522.html Score=0.21344522
44. CACM-1236.html Score=0.20095375
45. CACM-1752.html Score=0.20095375
46. CACM-2777.html Score=0.20095375
47. CACM-0322.html Score=0.1986582
48. CACM-2624.html Score=0.1986582
49. CACM-3026.html Score=0.1986582
50. CACM-2358.html Score=0.1930821
51. CACM-2374.html Score=0.18991122
52. CACM-3137.html Score=0.18991122
53. CACM-2036.html Score=0.18111807
54. CACM-3028.html Score=0.18111807
55. CACM-2184.html Score=0.160763
56. CACM-2297.html Score=0.160763
57. CACM-2622.html Score=0.160763
58. CACM-1892.html Score=0.15892656
59. CACM-2625.html Score=0.15892656
60. CACM-0696.html Score=0.15825933
61. CACM-1647.html Score=0.15825933
62. CACM-2095.html Score=0.15825933
63. CACM-2582.html Score=0.15825933
64. CACM-2972.html Score=0.15825933
65. CACM-3006.html Score=0.15825933
66. CACM-3050.html Score=0.15825933
67. CACM-3105.html Score=0.15825933
68. CACM-1069.html Score=0.14430283
69. CACM-1755.html Score=0.14430283
70. CACM-2796.html Score=0.14430283
71. CACM-1517.html Score=0.12660746
72. CACM-1810.html Score=0.12660746
73. CACM-1854.html Score=0.12660746
74. CACM-1877.html Score=0.12660746
75. CACM-2342.html Score=0.12660746
76. CACM-2535.html Score=0.12660746
77. CACM-2542.html Score=0.12660746
78. CACM-2849.html Score=0.12660746
79. CACM-3002.html Score=0.12660746
80. CACM-1050.html Score=0.10307345
81. CACM-1472.html Score=0.10203751
82. CACM-1591.html Score=0.092191696
83. CACM-2357.html Score=0.08926423
84. CACM-2868.html Score=0.08926423
85. CACM-2920.html Score=0.08926423
86. CACM-0018.html Score=0.08829741
87. CACM-0025.html Score=0.08829741
88. CACM-0597.html Score=0.08829741
89. CACM-0652.html Score=0.08829741
90. CACM-1360.html Score=0.08829741
91. CACM-1464.html Score=0.08746072
92. CACM-2311.html Score=0.08637957
93. CACM-2407.html Score=0.08637957
94. CACM-2345.html Score=0.08110635
95. CACM-2583.html Score=0.07804462
96. CACM-0238.html Score=0.07726023
97. CACM-0651.html Score=0.07726023
98. CACM-0795.html Score=0.07726023
99. CACM-1912.html Score=0.07726023
100. CACM-2690.html Score=0.07726023
