Query: code optimization for space efficiency
Total Hits: 1579
1. CACM-1795.html Score=0.64332205
2. CACM-2495.html Score=0.5975083
3. CACM-1947.html Score=0.5535952
4. CACM-2748.html Score=0.528035
5. CACM-2559.html Score=0.4950907
6. CACM-1886.html Score=0.44647112
7. CACM-2897.html Score=0.43843484
8. CACM-2904.html Score=0.38659886
9. CACM-3080.html Score=0.38377044
10. CACM-2491.html Score=0.37791464
11. CACM-2680.html Score=0.3617208
12. CACM-2537.html Score=0.3568571
13. CACM-3171.html Score=0.34712863
14. CACM-2464.html Score=0.3463252
15. CACM-1195.html Score=0.33868977
16. CACM-2253.html Score=0.32735753
17. CACM-2944.html Score=0.3262091
18. CACM-2929.html Score=0.31939238
19. CACM-1655.html Score=0.30841085
20. CACM-2716.html Score=0.28945735
21. CACM-1564.html Score=0.2743894
22. CACM-2423.html Score=0.2743894
23. CACM-2374.html Score=0.27298835
24. CACM-3005.html Score=0.26183242
25. CACM-2033.html Score=0.26124457
26. CACM-1651.html Score=0.24911706
27. CACM-2611.html Score=0.24534898
28. CACM-2858.html Score=0.24334013
29. CACM-3053.html Score=0.24334013
30. CACM-3054.html Score=0.24068223
31. CACM-0267.html Score=0.24038294
32. CACM-0230.html Score=0.23872676
33. CACM-0797.html Score=0.23872676
34. CACM-1064.html Score=0.23872676
35. CACM-1289.html Score=0.23872676
36. CACM-2856.html Score=0.23869252
37. CACM-2433.html Score=0.23437612
38. CACM-1234.html Score=0.23171572
39. CACM-2701.html Score=0.22340249
40. CACM-1901.html Score=0.22280307
41. CACM-0066.html Score=0.22071782
42. CACM-1757.html Score=0.21100664
43. CACM-1542.html Score=0.2106169
44. CACM-2133.html Score=0.21029912
45. CACM-1275.html Score=0.20888591
46. CACM-1414.html Score=0.20888591
47. CACM-2835.html Score=0.20701885
48. CACM-0149.html Score=0.20604253
49. CACM-1670.html Score=0.20255528
50. CACM-1992.html Score=0.20255528
51. CACM-2722.html Score=0.19925252
52. CACM-2745.html Score=0.19869836
53. CACM-2734.html Score=0.19712423
54. CACM-2530.html Score=0.18242602
55. CACM-3129.html Score=0.17914577
56. CACM-1065.html Score=0.17904507
57. CACM-2586.html Score=0.17904507
58. CACM-0048.html Score=0.17705749
59. CACM-1362.html Score=0.17705749
60. CACM-2711.html Score=0.1756262
61. CACM-2078.html Score=0.1752548
62. CACM-1807.html Score=0.17389299
63. CACM-1223.html Score=0.16849889
64. CACM-1235.html Score=0.16849351
65. CACM-3083.html Score=0.16805974
66. CACM-1369.html Score=0.16523181
67. CACM-1204.html Score=0.15765558
68. CACM-2645.html Score=0.15531684
69. CACM-2892.html Score=0.15143192
70. CACM-1708.html Score=0.14958504
71. CACM-0093.html Score=0.14920424
72. CACM-2389.html Score=0.14902377
73. CACM-2863.html Score=0.14902377
74. CACM-1652.html Score=0.14447135
75. CACM-1676.html Score=0.14430216
76. CACM-2836.html Score=0.14363311
77. CACM-2524.html Score=0.1414585
78. CACM-1465.html Score=0.14062326
79. CACM-2126.html Score=0.13736169
80. CACM-1523.html Score=0.13666514
81. CACM-2230.html Score=0.13616589
82. CACM-1331.html Score=0.13049494
83. CACM-2498.html Score=0.12899466
84. CACM-0794.html Score=0.12837844
85. CACM-2344.html Score=0.12832725
86. CACM-2950.html Score=0.12738775
87. CACM-0124.html Score=0.12612447
88. CACM-1551.html Score=0.12612447
89. CACM-1270.html Score=0.12610742
90. CACM-1352.html Score=0.12610742
91. CACM-1429.html Score=0.12610742
92. CACM-2365.html Score=0.12610742
93. CACM-2816.html Score=0.12418647
94. CACM-2249.html Score=0.12392385
95. CACM-1030.html Score=0.1231686
96. CACM-0693.html Score=0.12267449
97. CACM-1786.html Score=0.121533155
98. CACM-3175.html Score=0.121533155
99. CACM-3064.html Score=0.12141173
100. CACM-0164.html Score=0.12103897
