Query: parallel algorithms
Total Hits: 272
1. CACM-2973.html Score=1.0088185
2. CACM-3075.html Score=0.9137456
3. CACM-2557.html Score=0.8322328
4. CACM-2266.html Score=0.8261164
5. CACM-3156.html Score=0.8261164
6. CACM-1601.html Score=0.76765776
7. CACM-0950.html Score=0.68843037
8. CACM-1468.html Score=0.68843037
9. CACM-2433.html Score=0.594452
10. CACM-2570.html Score=0.594452
11. CACM-2289.html Score=0.5686563
12. CACM-1957.html Score=0.5663724
13. CACM-2838.html Score=0.5339811
14. CACM-2692.html Score=0.48292387
15. CACM-0141.html Score=0.4730892
16. CACM-0392.html Score=0.4730892
17. CACM-1302.html Score=0.4730892
18. CACM-2114.html Score=0.47197703
19. CACM-2723.html Score=0.47197703
20. CACM-2182.html Score=0.41395304
21. CACM-2685.html Score=0.40970725
22. CACM-2714.html Score=0.39114887
23. CACM-2896.html Score=0.35849383
24. CACM-1262.html Score=0.35481688
25. CACM-1367.html Score=0.35481688
26. CACM-1795.html Score=0.35481688
27. CACM-1828.html Score=0.35481688
28. CACM-2700.html Score=0.35481688
29. CACM-2007.html Score=0.3525926
30. CACM-0371.html Score=0.34904885
31. CACM-1158.html Score=0.33452457
32. CACM-2785.html Score=0.30728042
33. CACM-1796.html Score=0.29918474
34. CACM-2952.html Score=0.29568073
35. CACM-2895.html Score=0.292709
36. CACM-1811.html Score=0.2897068
37. CACM-0270.html Score=0.28207406
38. CACM-0804.html Score=0.28207406
39. CACM-1342.html Score=0.28207406
40. CACM-1660.html Score=0.28207406
41. CACM-1952.html Score=0.28207406
42. CACM-2325.html Score=0.28207406
43. CACM-2342.html Score=0.2644649
44. CACM-2851.html Score=0.2644649
45. CACM-2401.html Score=0.25606704
46. CACM-2865.html Score=0.25606704
47. CACM-3059.html Score=0.25606704
48. CACM-2080.html Score=0.2508934
49. CACM-3073.html Score=0.2508934
50. CACM-1374.html Score=0.2468148
51. CACM-1851.html Score=0.2468148
52. CACM-1953.html Score=0.2468148
53. CACM-2226.html Score=0.2468148
54. CACM-2417.html Score=0.2468148
55. CACM-2725.html Score=0.2468148
56. CACM-2830.html Score=0.2468148
57. CACM-1551.html Score=0.2442833
58. CACM-1569.html Score=0.2365446
59. CACM-3044.html Score=0.2365446
60. CACM-2884.html Score=0.23321806
61. CACM-2902.html Score=0.21591799
62. CACM-2950.html Score=0.21591799
63. CACM-3166.html Score=0.21591799
64. CACM-1658.html Score=0.21155554
65. CACM-2025.html Score=0.21155554
66. CACM-2222.html Score=0.21155554
67. CACM-2362.html Score=0.21155554
68. CACM-2505.html Score=0.21155554
69. CACM-2863.html Score=0.21155554
70. CACM-2942.html Score=0.21155554
71. CACM-3061.html Score=0.21155554
72. CACM-2740.html Score=0.20907786
73. CACM-1008.html Score=0.20697652
74. CACM-1200.html Score=0.20697652
75. CACM-1380.html Score=0.20697652
76. CACM-2727.html Score=0.20697652
77. CACM-1747.html Score=0.20485362
78. CACM-1846.html Score=0.20485362
79. CACM-2175.html Score=0.20485362
80. CACM-2195.html Score=0.20485362
81. CACM-1873.html Score=0.19945648
82. CACM-2272.html Score=0.19945648
83. CACM-1924.html Score=0.19710524
84. CACM-2146.html Score=0.19710524
85. CACM-2273.html Score=0.19710524
86. CACM-2283.html Score=0.19710524
87. CACM-2903.html Score=0.19710524
88. CACM-3006.html Score=0.19710524
89. CACM-1392.html Score=0.18321247
90. CACM-2490.html Score=0.18321247
91. CACM-2679.html Score=0.18321247
92. CACM-2997.html Score=0.18321247
93. CACM-1341.html Score=0.17740844
94. CACM-1471.html Score=0.17740844
95. CACM-1536.html Score=0.17740844
96. CACM-1554.html Score=0.17740844
97. CACM-1603.html Score=0.17740844
98. CACM-1960.html Score=0.17740844
99. CACM-2376.html Score=0.17740844
100. CACM-2514.html Score=0.17740844
