Query: parallel processor in information retrieval
Total Hits: 1529
1. CACM-2967.html Score=0.7082254
2. CACM-0634.html Score=0.5461165
3. CACM-2973.html Score=0.5330611
4. CACM-1811.html Score=0.51177335
5. CACM-0891.html Score=0.41518122
6. CACM-2530.html Score=0.40958735
7. CACM-2965.html Score=0.40958735
8. CACM-2976.html Score=0.40958735
9. CACM-3168.html Score=0.40958735
10. CACM-2288.html Score=0.40007916
11. CACM-1927.html Score=0.38666227
12. CACM-2278.html Score=0.37855646
13. CACM-2838.html Score=0.35851765
14. CACM-2882.html Score=0.35653657
15. CACM-1457.html Score=0.35578042
16. CACM-2140.html Score=0.35020137
17. CACM-1699.html Score=0.34822118
18. CACM-1601.html Score=0.34366482
19. CACM-3169.html Score=0.34132278
20. CACM-2516.html Score=0.3396688
21. CACM-1935.html Score=0.3378923
22. CACM-2519.html Score=0.32636416
23. CACM-3012.html Score=0.32482263
24. CACM-1681.html Score=0.31271085
25. CACM-2114.html Score=0.3120005
26. CACM-2175.html Score=0.30691025
27. CACM-1830.html Score=0.30682305
28. CACM-2865.html Score=0.29916105
29. CACM-1937.html Score=0.29438117
30. CACM-0275.html Score=0.28660002
31. CACM-0651.html Score=0.28660002
32. CACM-2070.html Score=0.28660002
33. CACM-2990.html Score=0.28351814
34. CACM-1675.html Score=0.27305824
35. CACM-2645.html Score=0.27148092
36. CACM-2723.html Score=0.26939452
37. CACM-2497.html Score=0.26721078
38. CACM-2307.html Score=0.2662603
39. CACM-1846.html Score=0.26329422
40. CACM-2455.html Score=0.26295358
41. CACM-1725.html Score=0.2572509
42. CACM-1032.html Score=0.25681505
43. CACM-2631.html Score=0.25681505
44. CACM-1959.html Score=0.2559755
45. CACM-1359.html Score=0.25542647
46. CACM-2947.html Score=0.2553496
47. CACM-1236.html Score=0.2507608
48. CACM-2711.html Score=0.2507608
49. CACM-1747.html Score=0.24959369
50. CACM-1613.html Score=0.24941622
51. CACM-0239.html Score=0.24565716
52. CACM-0292.html Score=0.24565716
53. CACM-1831.html Score=0.24565716
54. CACM-2532.html Score=0.24565716
55. CACM-2561.html Score=0.24531764
56. CACM-2032.html Score=0.23892593
57. CACM-2493.html Score=0.23892593
58. CACM-1960.html Score=0.23832633
59. CACM-2575.html Score=0.23623443
60. CACM-1976.html Score=0.23291053
61. CACM-2714.html Score=0.2318515
62. CACM-2846.html Score=0.23022163
63. CACM-1788.html Score=0.22707391
64. CACM-3134.html Score=0.22261603
65. CACM-2896.html Score=0.22205634
66. CACM-2160.html Score=0.22039233
67. CACM-1367.html Score=0.21977878
68. CACM-1711.html Score=0.21719776
69. CACM-2795.html Score=0.21719776
70. CACM-1262.html Score=0.21610773
71. CACM-0440.html Score=0.20856614
72. CACM-1652.html Score=0.20711954
73. CACM-1514.html Score=0.20635842
74. CACM-1828.html Score=0.20607825
75. CACM-2141.html Score=0.20479368
76. CACM-2543.html Score=0.20479368
77. CACM-2412.html Score=0.2047143
78. CACM-2552.html Score=0.2047143
79. CACM-2781.html Score=0.2047143
80. CACM-1456.html Score=0.20312296
81. CACM-2623.html Score=0.20312296
82. CACM-2484.html Score=0.202765
83. CACM-3135.html Score=0.20197439
84. CACM-2451.html Score=0.20110689
85. CACM-2722.html Score=0.19743586
86. CACM-1108.html Score=0.19457446
87. CACM-2377.html Score=0.19457446
88. CACM-0406.html Score=0.19209304
89. CACM-1527.html Score=0.1893306
90. CACM-2991.html Score=0.18778704
91. CACM-1680.html Score=0.18740638
92. CACM-1194.html Score=0.18609634
93. CACM-3075.html Score=0.18597947
94. CACM-1742.html Score=0.18540506
95. CACM-1530.html Score=0.18354164
96. CACM-2388.html Score=0.18319824
97. CACM-2650.html Score=0.18319824
98. CACM-2746.html Score=0.18319824
99. CACM-2895.html Score=0.18130824
100. CACM-2266.html Score=0.18030451
