Rank, Term, Frequency
1:: the :: 11033
2:: of :: 9210
3:: a :: 6523
4:: and :: 4607
5:: to :: 3790
6:: is :: 3728
7:: in :: 3478
8:: ca :: 3205
9:: cacm :: 3204
10:: for :: 3177
11:: jb :: 3021
12:: pm :: 2221
13:: are :: 1988
14:: march :: 1831
15:: algorithm :: 1621
16:: an :: 1402
17:: on :: 1272
18:: system :: 1239
19:: by :: 1236
20:: computer :: 1217
21:: be :: 1201
22:: which :: 1184
23:: this :: 1166
24:: with :: 1129
25:: that :: 1097
26:: february :: 1011
27:: am :: 987
28:: as :: 961
29:: data :: 950
30:: january :: 934
31:: j :: 911
32:: s :: 862
33:: program :: 843
34:: programming :: 790
35:: r :: 786
36:: time :: 783
37:: language :: 774
38:: method :: 722
39:: it :: 719
40:: systems :: 707
41:: m :: 617
42:: can :: 594
43:: d :: 552
44:: from :: 535
45:: problem :: 524
46:: may :: 521
47:: paper :: 515
48:: information :: 500
49:: storage :: 500
50:: or :: 499
51:: h :: 491
52:: c :: 489
53:: g :: 469
54:: number :: 466
55:: e :: 463
56:: analysis :: 460
57:: described :: 457
58:: w :: 456
59:: programs :: 444
60:: processing :: 440
61:: n :: 436
62:: use :: 435
63:: presented :: 434
64:: given :: 432
65:: used :: 420
66:: one :: 420
67:: memory :: 407
68:: these :: 404
69:: has :: 389
70:: december :: 377
71:: algorithms :: 376
72:: at :: 373
73:: two :: 369
74:: p :: 361
75:: set :: 360
76:: l :: 359
77:: design :: 355
78:: been :: 354
79:: b :: 348
80:: function :: 343
81:: such :: 342
82:: some :: 342
83:: problems :: 330
84:: using :: 328
85:: f :: 315
86:: i :: 311
87:: discussed :: 311
88:: have :: 310
89:: august :: 309
90:: k :: 306
91:: structure :: 305
92:: june :: 304
93:: april :: 302
94:: not :: 301
95:: july :: 300
96:: languages :: 296
97:: methods :: 289
98:: its :: 286
99:: model :: 285
100:: november :: 278
101:: matrix :: 272
102:: functions :: 272
103:: general :: 272
104:: control :: 271
105:: new :: 269
106:: file :: 268
107:: october :: 267
108:: t :: 266
109:: technique :: 266
110:: each :: 266
111:: machine :: 265
112:: list :: 262
113:: results :: 261
114:: other :: 260
115:: techniques :: 258
116:: also :: 258
117:: september :: 252
118:: linear :: 245
119:: retrieval :: 244
120:: solution :: 243
121:: error :: 243
122:: into :: 236
123:: shown :: 233
124:: more :: 231
125:: simulation :: 230
126:: all :: 224
127:: equations :: 222
128:: than :: 219
129:: input :: 218
130:: based :: 217
131:: search :: 217
132:: procedure :: 216
133:: structures :: 215
134:: performance :: 214
135:: fortran :: 213
136:: between :: 211
137:: any :: 208
138:: allocation :: 207
139:: operating :: 207
140:: large :: 206
141:: code :: 201
142:: implementation :: 199
143:: automatic :: 196
144:: algol :: 196
145:: simple :: 196
146:: computing :: 195
147:: user :: 191
148:: both :: 188
149:: numerical :: 188
150:: several :: 186
151:: procedures :: 185
152:: was :: 183
153:: order :: 181
154:: their :: 180
155:: first :: 179
156:: when :: 178
157:: process :: 178
158:: level :: 177
159:: random :: 177
